trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.2, 'e': 0.3706551064126331}",30,13,-55.30351507037607,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
199,False,"{'a': 0.2, 'e': 0.36880183088056995}",25,15,-48.96731504721485,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
200,False,"{'a': 0.2, 'e': 0.3669578217261671}",20,9,-4.459235004861179,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.36512303261753626}",20,0,6.336991141346877,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.2, 'e': 0.3632974174544486}",25,0,0.8474522990406201,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
203,False,"{'a': 0.2, 'e': 0.3614809303671764}",30,21,-13.559869985180482,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.3596735257153405}",30,21,0.5404470240532242,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.2, 'e': 0.3578751580867638}",20,13,1.154160318045258,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.35608578229633}",25,17,-27.16279491257668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.2, 'e': 0.3543053533848483}",20,4,-51.72125658452816,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
208,False,"{'a': 0.2, 'e': 0.35253382661792404}",30,1,-60.15810374973801,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 1}",1
209,False,"{'a': 0.2, 'e': 0.3507711574848344}",20,0,-37.243237241626076,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
210,False,"{'a': 0.2, 'e': 0.34901730169741024}",20,9,-3.385183519050018,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.3472722151889232}",25,0,-96.51320468607874,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
212,False,"{'a': 0.2, 'e': 0.3455358541129786}",20,14,-2.13931785988368,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.3438081748424137}",25,18,-0.017030348662494976,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.3420891339682016}",25,18,5.41996214451407,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.2, 'e': 0.3403786882983606}",25,0,-56.174339647648296,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
